"AnimalName","numberOfAnimals","AnimalType"
"Busta",2,"Cat"
"Gin",2,"Cat"
"Alec",2,"Cat"
"Wilson",2,"Cat"
"Cha Cha",2,"Cat"
"Lilli",2,"Cat"
"Danny",2,"Cat"
"Mia Rose",2,"Cat"
"Tora",2,"Cat"
"Nibbler",2,"Cat"
"Samba",2,"Cat"
"Donna",2,"Cat"
"Gingy",2,"Cat"
"Minny",2,"Cat"
"Talon",2,"Cat"
"Linc",2,"Cat"
"Annabell",2,"Cat"
"Bumble",2,"Cat"
"Eva",2,"Cat"
"Rajah",2,"Cat"
"Mace",2,"Cat"
"Yoshi",2,"Cat"
"Vince",2,"Cat"
"Fat Boy",2,"Cat"
"Mr Coco",2,"Cat"
"Pud",2,"Cat"
"Cherry",2,"Cat"
"Wookie",2,"Cat"
"Mista",2,"Cat"
"Dapper",2,"Cat"
"Gilbert",2,"Cat"
"Bliss",2,"Cat"
"Shira",2,"Cat"
"Howard",2,"Cat"
"Zoey",2,"Cat"
"Coco-Chanel",2,"Cat"
"Ranga",2,"Cat"
"Lara",2,"Cat"
"Rocco",2,"Cat"
"Lance",2,"Cat"
"Hobo",2,"Cat"
"Floss",2,"Cat"
"Ayla",2,"Cat"
"Jarvis",2,"Cat"
"Kiri",2,"Cat"
"Carl",2,"Cat"
"Keanu",2,"Cat"
"Amity",2,"Cat"
"Jilly",2,"Cat"
"Angela",2,"Cat"
"Tequila",2,"Cat"
"Goldie",2,"Cat"
"Rodger",2,"Cat"
"Gigi",2,"Cat"
"Gary",2,"Cat"
"Yasmin",2,"Cat"
"Ringo",2,"Cat"
"Draco",2,"Cat"
"Stardust",2,"Cat"
"Tallulah",2,"Cat"
"Bridie",2,"Cat"
"Bart",2,"Cat"
"Dennis",2,"Cat"
"Anouk",2,"Cat"
"Gabriel",2,"Cat"
"Lionel",2,"Cat"
"Vader",2,"Cat"
"Lester",2,"Cat"
"Fonzie",2,"Cat"
"Ezra",2,"Cat"
"Alistair",2,"Cat"
"Jocelyn",2,"Cat"
"Khloe",2,"Cat"
"Shirley",2,"Cat"
"Blade",2,"Cat"
"Sylvie",2,"Cat"
"Persia",2,"Cat"
"Zero",2,"Cat"
"Rhani",2,"Cat"
"Nike",2,"Cat"
"Whisper",2,"Cat"
"Jacinta",2,"Cat"
"Chucky",2,"Cat"
"Little Man",2,"Cat"
"Fred",2,"Cat"
"Samara",2,"Cat"
"Cloud",2,"Cat"
"Pippen",2,"Cat"
"Bluey",2,"Cat"
"Princess Leah",2,"Cat"
"Lokie",2,"Cat"
"Taji",2,"Cat"
"Arnie",2,"Cat"
"Ginny",2,"Cat"
"Muss",2,"Cat"
"Joe",2,"Cat"
"Bells",2,"Cat"
"Gem",2,"Cat"
"Pingu",2,"Cat"
"Kasper",2,"Cat"
"Shara",2,"Cat"
"T.C.",2,"Cat"
"LaLa",2,"Cat"
"Lilith",2,"Cat"
"Phantom",2,"Cat"
"Bowie",2,"Cat"
"Siri",2,"Cat"
"Pricilla",2,"Cat"
"Emmit",2,"Cat"
